"ID","Source","Severity","Start_Time","End_Time","Start_Lat","Start_Lng","End_Lat","End_Lng","Distance.mi.","Description","Street","City","County","State","Zipcode","Country","Timezone","Airport_Code","Weather_Timestamp","Temperature.F.","Wind_Chill.F.","Humidity...","Pressure.in.","Visibility.mi.","Wind_Direction","Wind_Speed.mph.","Precipitation.in.","Weather_Condition","Amenity","Bump","Crossing","Give_Way","Junction","No_Exit","Railway","Roundabout","Station","Stop","Traffic_Calming","Traffic_Signal","Turning_Loop","Sunrise_Sunset","Civil_Twilight","Nautical_Twilight","Astronomical_Twilight"
"A-194512","Source2",3,2016-12-01 17:48:23,2016-12-01 18:33:08,42.6824,-73.784927,NA,NA,0.01,"Right lane blocked due to accident on I-90 Eastbound at Exit 5 County Hwy-155 Everett Rd.","I-90 E","Albany","Albany","NY","12205","US","US/Eastern","KALB","2016-12-01 17:51:00",41,37.1,70,29.69,10,"West",5.8,NA,"Scattered Clouds","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Night","Day"
"A-194514","Source2",3,2016-12-01 17:56:31,2016-12-01 18:41:07,42.695904,-73.84127,NA,NA,0.01,"Shoulder blocked on exit ramp due to accident on I-90 Eastbound at Exits 1N 1S I-87.","I-90 W","Albany","Albany","NY","12205","US","US/Eastern","KALB","2016-12-01 17:51:00",41,37.1,70,29.69,10,"West",5.8,NA,"Scattered Clouds","False","False","False","False","True","False","False","False","False","False","False","False","False","Night","Night","Night","Day"
"A-194517","Source2",3,2016-12-01 18:22:07,2016-12-01 19:06:49,42.667244,-73.733116,NA,NA,0.01,"Lane blocked on exit ramp due to accident on I-787 Northbound at Exit 5 I-90.","I-787 N","Albany","Albany","NY","12204","US","US/Eastern","KALB","2016-12-01 18:51:00",37,34.5,79,29.7,10,"ESE",3.5,NA,"Partly Cloudy","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Night","Night"
"A-194519","Source2",3,2016-12-01 18:34:04,2016-12-01 19:18:50,42.633045,-73.781815,NA,NA,7.01,"Accident on I-87 Northbound between Exit 22 and Exit 23 US-9W Southern Blvd.","I-87 S","Albany","Albany","NY","12209","US","US/Eastern","KALB","2016-12-01 18:51:00",37,34.5,79,29.7,10,"ESE",3.5,NA,"Partly Cloudy","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Night","Night"
"A-194569","Source2",3,2016-12-02 07:33:35,2016-12-02 08:18:21,42.738365,-73.78363,NA,NA,0.01,"Right lane closed due to accident on I-87 Southbound at Exit 5 NY-155 Watervliet Shaker Rd.","Watervliet Shaker Rd","Latham","Albany","NY","12110","US","US/Eastern","KALB","2016-12-02 07:51:00",41,36.4,67,29.81,10,"South",6.9,NA,"Mostly Cloudy","False","False","False","False","False","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"A-194586","Source2",3,2016-12-02 08:40:37,2016-12-02 09:40:10,42.762939,-73.762451,NA,NA,0.01,"Left lane blocked and left hand shoulder blocked due to accident on I-87 Southbound before Exits 6-7 7 NY-7.","Adirondack Northway N","Latham","Albany","NY","12110","US","US/Eastern","KALB","2016-12-02 08:51:00",45,40.6,60,29.81,10,"WSW",8.1,NA,"Mostly Cloudy","False","False","False","False","False","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"A-194695","Source2",3,2016-12-02 23:41:15,2016-12-03 00:07:12,42.39365,-73.824783,NA,NA,0.01,"Accident on I-87 Northbound before Exit 21B US-9W.","New York Trwy N","West Coxsackie","Greene","NY","12192","US","US/Eastern","KALB","2016-12-02 23:51:00",37,28.1,76,29.85,10,"West",15,NA,"Mostly Cloudy","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Night","Night"
"A-194698","Source2",3,2016-12-03 00:22:35,2016-12-03 00:51:46,42.515549,-73.789352,NA,NA,0.01,"Accident on I-87 Northbound before Exit 21A Berkshire Spur.","New York Trwy N","Selkirk","Albany","NY","12158","US","US/Eastern","KALB","2016-12-03 00:51:00",37,28.5,73,29.86,10,"WNW",13.8,NA,"Mostly Cloudy","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Night","Night"
"A-194715","Source2",3,2016-12-03 14:55:20,2016-12-03 15:24:50,42.659935,-73.722084,NA,NA,0.01,"One lane blocked due to accident on I-90 Eastbound before Exit 7 Washington Ave.","I-90 E","Rensselaer","Rensselaer","NY","12144","US","US/Eastern","KALB","2016-12-03 14:51:00",37.9,29.2,57,30.04,10,"WNW",15,NA,"Scattered Clouds","False","False","False","False","False","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"A-194725","Source2",2,2016-12-03 17:55:16,2016-12-03 18:24:52,42.695049,-73.838837,NA,NA,0.01,"Right hand shoulder blocked due to accident on Adirondack Northway Southbound at Exits 1E 1W I-87.","Adirondack Northway S","Albany","Albany","NY","12205","US","US/Eastern","KALB","2016-12-03 17:51:00",37,27.4,65,30.13,10,"WNW",17.3,0,"Light Snow","False","False","False","False","True","False","False","False","False","False","False","False","False","Night","Night","Night","Day"
"A-194739","Source2",3,2016-12-04 11:06:45,2016-12-04 11:51:02,42.680904,-73.773186,NA,NA,0.01,"Right lane blocked due to accident on I-90 Westbound before Exit 5A Corporate Woods Blvd.","I-90 E","Albany","Albany","NY","12205","US","US/Eastern","KALB","2016-12-04 10:51:00",34,28,56,30.29,10,"WNW",6.9,NA,"Overcast","False","False","False","False","False","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"A-194758","Source2",3,2016-12-04 18:10:08,2016-12-04 18:38:45,42.367374,-73.845352,NA,NA,0.01,"Accident on I-87 Southbound at Exit 21 Catskill.","I-87 S","West Coxsackie","Greene","NY","12192","US","US/Eastern","KALB","2016-12-04 17:51:00",28.9,NA,67,30.24,10,"Calm",NA,NA,"Partly Cloudy","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Night","Night"
"A-194771","Source2",2,2016-12-05 04:26:56,2016-12-05 05:11:34,42.742554,-73.697472,NA,NA,0.01,"Left hand shoulder blocked due to accident on NY-7 Westbound at NY-787.","NY-787 N","Watervliet","Albany","NY","12189","US","US/Eastern","KALB","2016-12-05 04:15:00",28,22.8,88,30.03,1,"South",4.6,0.01,"Light Snow","False","False","False","False","True","False","False","False","False","False","False","False","False","Night","Night","Night","Night"
"A-194844","Source2",3,2016-12-05 07:14:38,2016-12-05 07:59:24,42.667244,-73.733116,NA,NA,0.01,"Right hand shoulder closed due to accident on I-787 Northbound at Exit 5 I-90.","I-787 N","Albany","Albany","NY","12204","US","US/Eastern","KALB","2016-12-05 07:14:00",28.9,25.2,89,29.96,1,"SSE",3.5,0.01,"Light Snow","False","False","False","False","False","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"A-194852","Source2",2,2016-12-05 07:35:50,2016-12-05 08:20:34,42.742554,-73.697472,NA,NA,0.01,"Left lane blocked due to accident on NY-7 Eastbound at NY-787.","NY-787 N","Watervliet","Albany","NY","12189","US","US/Eastern","KALB","2016-12-05 07:51:00",30,26.5,88,29.96,2,"SSE",3.5,0.02,"Light Snow","False","False","False","False","True","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"A-194889","Source2",3,2016-12-05 08:50:12,2016-12-05 09:34:52,42.743023,-73.699089,NA,NA,0.01,"Right hand shoulder closed due to accident on I-787 Northbound at Exit 9E NY-7.","NY-7 E","Watervliet","Albany","NY","12189","US","US/Eastern","KALB","2016-12-05 08:51:00",30.9,22.8,89,29.96,1.8,"South",9.2,0.02,"Light Snow","False","False","False","False","False","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"A-194937","Source2",3,2016-12-05 11:02:33,2016-12-05 11:47:02,42.633045,-73.781815,NA,NA,0.01,"Accident on I-87 Southbound at Exit 23 US-9W Southern Blvd.","I-87 S","Albany","Albany","NY","12209","US","US/Eastern","KALB","2016-12-05 10:51:00",34,25.5,85,29.93,10,"South",11.5,0,"Overcast","False","False","False","False","False","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"A-194958","Source2",3,2016-12-05 12:31:30,2016-12-05 13:01:09,42.742554,-73.697472,NA,NA,0.01,"One lane blocked due to accident on NY-7 Northbound around NY-787.","NY-787 N","Watervliet","Albany","NY","12189","US","US/Eastern","KALB","2016-12-05 12:51:00",37.9,32.7,83,29.92,10,"South",6.9,NA,"Overcast","False","False","False","False","True","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"A-194986","Source2",3,2016-12-05 17:48:31,2016-12-05 18:33:13,42.742554,-73.697472,NA,NA,0.01,"Right hand shoulder blocked and left hand shoulder blocked due to accident on I-787 Northbound at Exit 9E NY-7.","NY-787 N","Watervliet","Albany","NY","12189","US","US/Eastern","KALB","2016-12-05 17:51:00",39.9,35.1,68,30,10,"WNW",6.9,0,"Light Drizzle","False","False","False","False","True","False","False","False","False","False","False","False","False","Night","Night","Night","Day"
"A-195018","Source2",3,2016-12-06 05:59:37,2016-12-06 06:44:15,42.790497,-74.015869,NA,NA,0.01,"Left lane blocked due to accident on I-90 Eastbound around Exit 25A I-88.","New York Trwy W","Schenectady","Schenectady","NY","12306","US","US/Eastern","KSCH","2016-12-06 07:45:00",33.8,30.8,87,30.12,10,"West",3.5,NA,"Clear","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Night","Day"
"A-195050","Source2",3,2016-12-06 07:37:02,2016-12-06 08:21:40,42.633747,-73.782379,NA,NA,0.01,"Accident on I-87 Northbound around Exit 23 US-9W Southern Blvd.","New York Trwy N","Albany","Albany","NY","12209","US","US/Eastern","KALB","2016-12-06 07:51:00",30,NA,92,30.14,10,"Calm",NA,NA,"Partly Cloudy","False","False","False","False","False","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"A-195095","Source2",3,2016-12-06 08:49:04,2016-12-06 09:33:42,42.701317,-73.848732,NA,NA,0.01,"Left lane blocked due to accident on I-90 Eastbound at I-87.","New York Trwy S","Albany","Albany","NY","12205","US","US/Eastern","KALB","2016-12-06 08:51:00",37,NA,82,30.15,10,"Calm",NA,NA,"Partly Cloudy","False","False","False","False","False","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"A-195174","Source2",3,2016-12-06 16:57:57,2016-12-06 17:42:44,42.667244,-73.733116,NA,NA,0.01,"Right hand shoulder blocked due to accident on I-90 Eastbound at Exit 6A Patroon Island Bridge.","I-787 N","Albany","Albany","NY","12204","US","US/Eastern","KALB","2016-12-06 16:51:00",36,30.3,79,29.99,10,"NE",6.9,NA,"Overcast","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Day","Day"
"A-195180","Source2",3,2016-12-06 17:08:35,2016-12-06 17:53:21,42.669529,-73.749069,NA,NA,0.01,"Left lane blocked due to accident on I-90 Eastbound at Exit 6 US-9 Loudon Rd.","Loudon Rd","Albany","Albany","NY","12204","US","US/Eastern","KALB","2016-12-06 16:51:00",36,30.3,79,29.99,10,"NE",6.9,NA,"Overcast","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Day","Day"
"A-195184","Source2",3,2016-12-06 17:32:51,2016-12-06 18:17:34,42.710644,-73.825058,NA,NA,0.01,"One lane blocked due to accident on I-87 Southbound at Exits 2E 2W Wolf Rd.","I-87 S","Albany","Albany","NY","12205","US","US/Eastern","KALB","2016-12-06 17:51:00",35.1,30.1,78,30,10,"NE",5.8,NA,"Overcast","False","False","False","False","True","False","False","False","False","False","False","False","False","Night","Night","Night","Day"
"A-195185","Source2",3,2016-12-06 17:27:32,2016-12-06 18:12:19,42.637573,-73.755814,NA,NA,0.01,"Right hand shoulder blocked due to accident on I-787 Southbound at Exit 2 NY-32.","Church St","Albany","Albany","NY","12202","US","US/Eastern","KALB","2016-12-06 17:51:00",35.1,30.1,78,30,10,"NE",5.8,NA,"Overcast","False","False","False","False","False","False","False","False","False","True","False","False","False","Night","Night","Day","Day"
"A-195186","Source2",3,2016-12-06 17:31:33,2016-12-06 18:16:17,42.667244,-73.733116,NA,NA,0.01,"Lane blocked on exit ramp due to accident on I-787 Southbound at Exit 5 I-90.","I-787 N","Albany","Albany","NY","12204","US","US/Eastern","KALB","2016-12-06 17:51:00",35.1,30.1,78,30,10,"NE",5.8,NA,"Overcast","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Night","Day"
"A-195209","Source2",3,2016-12-06 22:15:21,2016-12-06 22:44:34,42.78212,-73.923378,NA,NA,1.03,"Left hand shoulder blocked due to accident on I-890 Eastbound between Exit 6 Michigan Ave and Exit 7 NY-7 Crosstown Connection.","Crosstown Connection","Schenectady","Schenectady","NY","12304","US","US/Eastern","KALB","2016-12-06 21:51:00",34,29.8,82,29.97,10,"NE",4.6,NA,"Overcast","False","False","False","False","True","False","False","False","False","False","False","False","False","Night","Night","Night","Night"
"A-195261","Source2",3,2016-12-07 08:13:56,2016-12-07 08:43:09,42.665009,-73.729225,NA,NA,0.01,"Right hand shoulder closed due to accident on I-90 Eastbound at Exit 6A Patroon Island Bridge.","I-90 E","Albany","Albany","NY","12204","US","US/Eastern","KALB","2016-12-07 07:51:00",33.1,NA,96,29.97,1.2,"Calm",NA,0,"Overcast","False","False","False","False","True","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"A-195264","Source2",3,2016-12-07 08:23:51,2016-12-07 08:52:00,42.633045,-73.781815,NA,NA,0.01,"Accident on I-87 Southbound at Exit 23 US-9W Southern Blvd.","I-87 S","Albany","Albany","NY","12209","US","US/Eastern","KALB","2016-12-07 08:51:00",34,31,89,29.98,1.2,"South",3.5,0,"Light Drizzle","False","False","False","False","False","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"A-195319","Source2",2,2016-12-07 12:39:17,2016-12-07 13:08:56,42.671604,-73.807884,NA,NA,0.01,"Accident on US-20 Western Ave at Brevator St.","NY-85 N","Albany","Albany","NY","12203","US","US/Eastern","KALB","2016-12-07 12:51:00",37.9,30.9,93,29.96,10,"South",10.4,NA,"Overcast","False","False","False","False","True","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"A-195361","Source2",3,2016-12-07 17:38:16,2016-12-07 18:23:03,42.790497,-74.015869,NA,NA,4.95,"Accident on I-90 Westbound between Exit 25 I-890 and Exit 25A I-88.","New York Trwy W","Schenectady","Schenectady","NY","12306","US","US/Eastern","KSCH","2016-12-07 17:50:00",35.6,31.7,93,30.01,10,"SSW",4.6,NA,"Scattered Clouds","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Night","Day"
"A-195366","Source2",3,2016-12-07 17:49:44,2016-12-07 18:34:32,42.732628,-73.69812,NA,NA,0.01,"Right hand shoulder blocked due to accident on I-787 Northbound at Exit 8 23rd St.","I-787 N","Watervliet","Albany","NY","12189","US","US/Eastern","KALB","2016-12-07 17:51:00",33.1,30,96,30.03,10,"SSW",3.5,NA,"Shallow Fog","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Night","Day"
"A-195374","Source2",2,2016-12-07 18:45:53,2016-12-07 19:30:37,42.742554,-73.697472,NA,NA,0.01,"Left hand shoulder blocked due to accident on NY-7 Westbound at NY-787.","NY-787 N","Watervliet","Albany","NY","12189","US","US/Eastern","KALB","2016-12-07 18:51:00",34,NA,96,30.03,10,"Calm",NA,NA,"Mostly Cloudy","False","False","False","False","True","False","False","False","False","False","False","False","False","Night","Night","Night","Night"
"A-195428","Source2",2,2016-12-08 07:54:22,2016-12-08 08:39:05,42.762939,-73.762451,NA,NA,0.01,"Lane blocked on exit ramp due to accident on NY-7 Westbound at I-87.","Adirondack Northway N","Latham","Albany","NY","12110","US","US/Eastern","KALB","2016-12-08 07:51:00",32,27.5,92,29.93,0.8,"South",4.6,NA,"Mostly Cloudy","False","False","False","False","False","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"A-195446","Source2",3,2016-12-08 08:45:56,2016-12-08 09:15:44,42.70504,-73.853745,NA,NA,0.01,"Accident on I-90 Eastbound at Exit 24 New York Trwy.","I-90 E","Albany","Albany","NY","12205","US","US/Eastern","KALB","2016-12-08 08:49:00",30.2,NA,100,29.91,2,"Calm",NA,NA,"Mostly Cloudy","False","False","False","False","False","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"A-195477","Source2",3,2016-12-08 11:26:22,2016-12-08 12:11:06,42.753029,-73.76899,NA,NA,0.01,"Right hand shoulder blocked due to accident on I-87 Southbound at Exit 6 Troy Schenectady Rd.","Troy Schenectady Rd","Latham","Albany","NY","12110","US","US/Eastern","KALB","2016-12-08 11:51:00",39,35.7,70,29.86,10,"South",4.6,NA,"Overcast","False","False","True","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"A-195494","Source2",3,2016-12-08 15:38:57,2016-12-08 16:23:43,42.627102,-73.699867,NA,NA,0.01,"Right hand shoulder blocked due to accident on I-90 Eastbound at Exit 9 US-4 Troy Rd.","I-90 E","East Greenbush","Rensselaer","NY","12061","US","US/Eastern","KALB","2016-12-08 15:51:00",36,27.5,57,29.87,10,"West",12.7,NA,"Partly Cloudy","False","False","False","False","False","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"A-195498","Source2",2,2016-12-08 15:51:36,2016-12-08 16:51:00,42.669846,-73.735901,NA,NA,0,"Restrictions due to truck vs overpass accident on Erie Blvd both ways near Erie St.","Erie St","Albany","Albany","NY","12204","US","US/Eastern","KALB","2016-12-08 15:51:00",36,27.5,57,29.87,10,"West",12.7,NA,"Partly Cloudy","False","False","True","False","False","False","True","False","False","False","False","False","False","Day","Day","Day","Day"
"A-195503","Source2",3,2016-12-08 16:06:57,2016-12-08 16:51:22,42.753838,-73.933105,NA,NA,5.27,"Accident on I-90 Westbound between Exit 24 New York Trwy and Exit 25 I-890.","New York Trwy W","Schenectady","Albany","NY","12303","US","US/Eastern","KALB","2016-12-08 15:51:00",36,27.5,57,29.87,10,"West",12.7,NA,"Partly Cloudy","False","False","False","False","False","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"A-195506","Source2",3,2016-12-08 16:18:40,2016-12-08 17:03:29,42.669529,-73.749069,NA,NA,0.01,"Right hand shoulder blocked due to accident on I-90 Westbound at Exit 6 US-9 Loudon Rd.","Loudon Rd","Albany","Albany","NY","12204","US","US/Eastern","KALB","2016-12-08 15:51:00",36,27.5,57,29.87,10,"West",12.7,NA,"Partly Cloudy","False","False","False","False","False","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"A-195520","Source2",3,2016-12-08 17:22:12,2016-12-08 18:06:57,42.753029,-73.76899,NA,NA,0.01,"Right hand shoulder blocked due to accident on I-87 Northbound at Exit 6 Troy Schenectady Rd.","Troy Schenectady Rd","Latham","Albany","NY","12110","US","US/Eastern","KALB","2016-12-08 17:51:00",32,24.8,66,29.9,10,"West",8.1,NA,"Partly Cloudy","False","False","True","False","False","False","False","False","False","False","False","True","False","Night","Night","Day","Day"
"A-195521","Source2",3,2016-12-08 17:13:39,2016-12-08 17:58:27,42.667244,-73.733116,NA,NA,0.01,"Right hand shoulder blocked due to accident on I-90 Eastbound at Exit 6A Patroon Island Bridge.","I-787 N","Albany","Albany","NY","12204","US","US/Eastern","KALB","2016-12-08 16:51:00",34,26.6,64,29.88,10,"WSW",9.2,NA,"Scattered Clouds","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Day","Day"
"A-195542","Source2",3,2016-12-08 18:45:44,2016-12-08 19:30:30,42.667244,-73.733116,NA,NA,0.01,"Shoulder blocked on exit ramp due to accident on I-787 Northbound at Exit 5 I-90.","I-787 N","Albany","Albany","NY","12204","US","US/Eastern","KALB","2016-12-08 18:51:00",32,23.6,64,29.92,10,"West",10.4,NA,"Scattered Clouds","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Night","Night"
"A-195554","Source2",3,2016-12-09 00:23:27,2016-12-09 00:52:49,42.39365,-73.824783,NA,NA,0.01,"Accident on I-87 Northbound before Exit 21B US-9W.","New York Trwy N","West Coxsackie","Greene","NY","12192","US","US/Eastern","KALB","2016-12-09 00:51:00",32,22.5,50,29.9,10,"West",12.7,NA,"Mostly Cloudy","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Night","Night"
